Model,Test videos (n),NDCG@10,Precision@10,Recall@10,MAP@10,MRR,RMSE,MAE
"Neural Net (tuned, 51 feat)",410,0.7264938764081176,0.4,0.04878048780487805,0.5515873015873016,1.0,0.27133344667566667,0.2311019003391266
"Random Forest + CLIP (71 feat, 2000 videos)",198,0.6876980822734666,0.4,0.1,0.75,1.0,0.2525713713998301,0.21347835176489185
"Neural Net + CLIP (71 feat, 2000 videos)",198,0.6298160536993119,0.4,0.1,0.29583333333333334,0.2,0.2650464295978248,0.212537059313852
